Project;n;Original project;Original language(s);Domain;Label correct;Match correct;Email?;SonarQube;RCA support;Same as original owner;Owner type;Archived;Original archived;Stars;Original stars;Forks;Original forks;Project size;Original project size;Rust percentage
chipsalliance/t1;;Same;C,C++;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;311;;44;;3603962;;8,1
chyh1990/yaml-rust;;yaml/libyaml;C;Non-web lib;y;n;y;;;FALSE;User;FALSE;FALSE;644;1121;160;354;278216;542402;50,2
Cisco-Talos/clamav;;Same;C,C++;App;y;;y;;;TRUE;Organization;FALSE;;6463;;844;;10913300;;3,6
cloudwego/sonic-rs;;simdjson/simdjson;C++;Non-web lib;y;n;y;;;FALSE;Organization;FALSE;FALSE;859;23611;59;1232;849210;14134814;99,7
ClueLang/Clue;;Same;C++;Tool;y;;y;;;TRUE;Organization;FALSE;;371;;11;;203372;;99,3
codemod/codemod;;Same;JavaScript,TypeScript,Python;App;y;;y;;;TRUE;Organization;FALSE;;972;;64;;2802685;;94,8
CommE2E/comm;;Same;C,C++;App;y;;y;;;TRUE;Organization;FALSE;;324;;28;;12450959;;10,5
copy/v86;;Same;JavaScript;System;y;;y;;;TRUE;User;FALSE;;22427;;1744;;3914573;;30,9
coreos/rpm-ostree;;Same;C;System;y;;y;;;TRUE;Organization;FALSE;;1001;;216;;3197657;;29,4
Crauzer/Obsidian;;Same;C#;App;y;;y;;;TRUE;User;FALSE;;654;;108;;260670;;35,2
crunchy-labs/crunchy-cli;;Same;Go;App;y;;;;;TRUE;Organization;TRUE;;630;;75;;267123;;99,2
cube-js/cube;;Same;JavaScript;System;y;;y;;;TRUE;Organization;FALSE;;19771;;1991;;19763174;;52,5
Cuprate/cuprate;;monero-project/monero;C++;System;n;n;y;;;FALSE;Organization;FALSE;FALSE;360;10450;56;3408;3458966;12228485;100,0
dask-contrib/dask-sql;;Same;Python;System;y;;y;;;TRUE;Organization;FALSE;;411;;71;;1141681;;36,4
das-labor/panopticon;;Same;C++;App;y;;y;;;TRUE;Organization;FALSE;;1442;;80;;1683121;;88,0
deepseek-ai/3FS;;Same;C++;System;y;;y;;;TRUE;Organization;FALSE;;9794;;1025;;6005945;;4,4
delta-io/delta-rs;;delta-io/delta;Scala,Java;System;n;n;y;;;TRUE;Organization;FALSE;FALSE;3184;8708;603;2066;4305335;21983856;84,5
denoland/deno;;Same;Go;System;y;;y;;;TRUE;Organization;FALSE;;106490;;5996;;23722789;;59,9
dermesser/leveldb-rs;;google/leveldb;C++;System;y;y;y;;;FALSE;User;FALSE;FALSE;578;38963;74;8178;457576;918767;99,9
dfinity/motoko;;Same;C;Tool;y;;y;;;TRUE;Organization;FALSE;;581;;122;;5404412;;15,7
dominikwilkowski/cfonts;;Same;JavaScript;Non-web lib;y;;y;;;TRUE;User;FALSE;;1847;;65;;1115925;;56,3
dprint/dprint;;Same;JavaScript,TypeScript;Tool;y;;y;;;TRUE;Organization;FALSE;;3872;;103;;1405870;;92,3
DragonOS-Community/DragonOS;;Same;C;System;y;;y;;;TRUE;Organization;FALSE;;1148;;184;;9943621;;88,0
dyc3/steamguard-cli;;Same;C#;App;y;;y;;;TRUE;User;FALSE;;937;;58;;307394;;80,3
dylanede/cassowary-rs;;nucleic/kiwi;C++;Non-web lib;y;n;y;;;FALSE;User;FALSE;FALSE;351;763;26;107;74219;358858;100,0
elringus/sprite-dicing;;Same;C#;Non-web lib;y;;y;;;TRUE;User;FALSE;;1473;;154;;197111;;47,3
eunomia-bpf/eunomia-bpf;;Same;C;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;863;;74;;418536;;90,3
euzu/tuliprox;;Same;TypeScript;App;y;;;;;TRUE;User;FALSE;;419;;39;;7021557;;92,8
Eventual-Inc/Daft;;Same;C++,JavaScript;System;y;;y;;;TRUE;Organization;FALSE;;5403;;439;;16767039;;45,1
fables-tales/rubyfmt;;Same;Ruby;Tool;y;;y;;;TRUE;User;FALSE;;1099;;54;;676547;;55,0
facebook/buck2;;facebook/buck;Java;Tool;n;n;y;;;TRUE;Organization;FALSE;TRUE;4306;8561;335;1134;33840047;37205651;54,5
facebook/hhvm;;Same;Ocaml;Tool;y;;y;;;TRUE;Organization;FALSE;;18618;;3076;;105006751;;9,1
facebook/relay;;Same;JavaScript;Tool;y;;y;;;TRUE;Organization;FALSE;;18934;;1885;;10895925;;54,4
ffplayout/ffplayout;;Same;Python;App;y;;y;;;TRUE;Organization;TRUE;;558;;136;;899557;;59,9
fish-shell/fish-shell;;Same;C,C++;App;y;;y;;;TRUE;Organization;FALSE;;33100;;2271;;4993429;;70,3
fluencelabs/nox;;Same;Scala;System;y;;y;;;TRUE;Organization;TRUE;;985;;180;;1804234;;99,5
gabriel-milan/btrader;;bmino/binance-triangle-arbitrage;C,Python;App;y;;y;;;FALSE;User;TRUE;FALSE;328;1160;68;359;40468;55822;98,2
Gadersd/stable-diffusion-burn;;CompVis/stable-diffusion;Python;App;y;n;;;;FALSE;User;FALSE;FALSE;346;72841;17;10625;148437;4695629;68,8
geldata/gel;;Same;Python;System;y;;y;;;TRUE;Organization;FALSE;;14091;;449;;18159618;;3,6
Genymobile/gnirehtet;;Same;Java;System;y;;y;;;TRUE;Organization;FALSE;;7531;;697;;436251;;49,7
gfx-rs/rspirv;;KhronosGroup/SPIRV-Tools;C++;Tool;y;n;y;;;FALSE;Organization;FALSE;FALSE;493;1295;72;664;3060446;24597295;100,0
glandium/git-cinnabar;;Same;Python,C;Tool;y;;y;;;TRUE;User;FALSE;;318;;64;;1003275;;65,1
glotlabs/gdrive;;prasmussen/gdrive;Go;App;y;y;y;;;FALSE;Organization;FALSE;TRUE;2035;8975;138;1165;174275;149023;100,0
glzr-io/glazewm;;Same;C#;App;y;;;;;TRUE;Organization;FALSE;;11802;;360;;731334;;99,4
GNOME/librsvg;;Same;C;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;385;;54;;2154133;;87,3
google/flatbuffers;;Same;C++;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;25755;;3534;;10952300;;13,5
googlefonts/fontations;;freetype/freetype;C++;Non-web lib;y;n;y;;;FALSE;Organization;FALSE;FALSE;744;798;56;399;8471831;8192650;99,1
grafana/augurs;;facebook/prophet;Python;Non-web lib;y;y;y;;;FALSE;Organization;FALSE;FALSE;565;20112;22;4647;1708242;415084;74,0
graniet/operative-framework;;Same;Go;App;y;;y;;;TRUE;User;FALSE;;744;;166;;141262;;100,0
Graviton-Code-Editor/Graviton-App;;Same;JavaScript,TypeScript;App;y;;y;;;TRUE;Organization;TRUE;;1209;;122;;361974;;43,8
greenbone/openvas-scanner;;Same;C;System;y;;y;;;TRUE;Organization;FALSE;;4525;;766;;4492962;;51,6
gsquire/topngx;;lebinh/ngxtop;Python;App;y;y;y;;;FALSE;User;FALSE;FALSE;697;6522;11;474;20834;53283;96,5
guillaume-be/rust-bert;;huggingface/transformers;Python;Non-web lib;y;n;y;;;FALSE;User;FALSE;FALSE;3059;159021;245;32786;2933008;64712591;99,7
harfbuzz/rustybuzz;;harfbuzz/harfbuzz;C++;Non-web lib;y;y;y;;;TRUE;Organization;FALSE;FALSE;657;5523;42;725;2280991;8305360;95,9
hasura/graphql-engine;;Same;Haskell,TypeScript;System;y;;y;;;TRUE;Organization;FALSE;;31932;;2861;;36650149;;11,8
Headline/discord-compiler-bot;;Same;JavaScript;System;y;;y;;;TRUE;User;FALSE;;442;;39;;187112;;99,8
heim-rs/heim;;giampaolo/psutil;Python,C;Non-web lib;y;y;y;;;FALSE;Organization;FALSE;FALSE;923;11134;96;1473;478284;1648648;100,0
hermit-os/kernel;;Same;C;System;y;y;y;;;TRUE;Organization;FALSE;;1416;;113;;1143993;;97,6
HerringtonDarkholme/vue-compiler;;vuejs/vue;TypeScript;Tool;y;n;;;;FALSE;User;FALSE;FALSE;1110;209900;42;33839;544788;1917500;92,7
HouraiTeahouse/backroll-rs;;pond3r/ggpo;C++;System;y;y;y;;;FALSE;Organization;FALSE;FALSE;364;3486;18;396;167504;249780;100,0
huff-language/huff-rs;;huff-language/huffc;TypeScript;Tool;y;y;y;;;TRUE;Organization;TRUE;TRUE;594;260;81;33;763167;59032;98,6
hyperledger-archives/sawtooth-core;;Same;Python;System;y;;y;;;TRUE;Organization;TRUE;;1419;;750;;2220988;;24,6
ihrwein/backoff;;cenkalti/backoff;Go;Non-web lib;y;y;y;;;FALSE;User;FALSE;FALSE;342;3975;52;210;39814;25626;100,0
ImageOptim/libimagequant;;Same;C;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;900;;139;;238003;;82,8
imazen/imageflow;;Same;C;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;4384;;143;;2399861;;77,2
imLinguin/comet;;Same;Python;Non-web lib;y;;y;;;TRUE;User;FALSE;;353;;19;;200822;;96,4
influxdata/flux;;Same;Go;Tool;y;;y;;;TRUE;Organization;FALSE;;792;;156;;15797705;;25,9
influxdata/influxdb;;Same;JavaScript,TypeScript,Go;System;y;;y;;;TRUE;Organization;FALSE;;31392;;3703;;12129054;;95,1
inko-lang/inko;;Same;Ruby;Tool;y;;y;;;TRUE;Organization;FALSE;;1265;;54;;2841738;;98,8
Instagram/LibCST;;Same;Python;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;1876;;225;;4136053;;13,9
JamieMason/syncpack;;Same;TypeScript;Tool;y;;y;;;TRUE;User;FALSE;;1967;;70;;1066571;;65,8
jasonish/evebox;;Same;Go;App;y;;y;;;TRUE;User;FALSE;;486;;75;;863856;;61,9
jeremylvln/Shulker;;Same;Kotlin,Go;System;y;;y;;;TRUE;User;FALSE;;376;;26;;621333;;68,7
